name,url,exist
JW Broadcasting,https://www.jw.org/en/library/videos/#en/categories/VODStudio,True
Children,https://www.jw.org/en/library/videos/#en/categories/VODChildren,True
Teenagers,https://www.jw.org/en/library/videos/#en/categories/VODTeenagers,True
Family,https://www.jw.org/en/library/videos/#en/categories/VODFamily,True
Programs and Events,https://www.jw.org/en/library/videos/#en/categories/VODProgramsEvents,True
Our Activities,https://www.jw.org/en/library/videos/#en/categories/VODOurActivities,True
Our Meetings and Ministry,https://www.jw.org/en/library/videos/#en/categories/VODMinistry,True
Our Organization,https://www.jw.org/en/library/videos/#en/categories/VODOurOrganization,True
The Bible,https://www.jw.org/en/library/videos/#en/categories/VODBible,True
Dramas,https://www.jw.org/en/library/videos/#en/categories/VODMovies,True
Series,https://www.jw.org/en/library/videos/#en/categories/VODSeries,True
Music,https://www.jw.org/en/library/videos/#en/categories/VODMusicVideos,True
Interviews and Experiences,https://www.jw.org/en/library/videos/#en/categories/VODIntExp,True
